no,brand,user,rate,review
1,canon,M***m,5,Produk sesuai deskripsi packingnya aman bergaransi resmi
2,canon,arum_permata,5,"Beli barang mahal mah harus di Officialnya , ud pasti garansi aman , barang jg good condition ?? Thankyou Canon , thankyou shopeelater"
3,canon,j*****5,5,"Top banget baru kemarin beli dah sampek pengiriman nya cepet, respon penjualnya juga cepet dapet kartu garansi cm gk diisi.. Lengkap top deh pokoknya kameranya juga bagus buat pemula. Pokoknya keren deh saya suka ?"
4,canon,pepen101010,3,"Sempet ada kendala dipengiriman chat admin malah disuruh sabar , akhirnya telfon ekspedisinya sendiri akhirnya dateng"
5,canon,k*****s,4,"pembeli yang lain pada dapat kartu memori, tapi saya tidak, kata admin memang tidak dapat lagi skrg, saya belinya flassale sic ?? 4 jutaan hampir sama dg harga pas diskon biasa, kecewa sy kira semua dpt, jd ga beli kartu memori dl, akhirnya kamera blm bisa lgsg dgnkan krn musti online lg nunggu Krtu"
6,canon,khaidirali07,4,"Harus selalu mengecek pesanan pelanggan agar tidak mengulang pertanyaan ,apakah sudah order atau belum Terima kasih."
7,nikon,wkriswinarto,5,Mantull.. Pas pengiriman kurang update tracking.. Tp tepat wakt
8,nikon,v*****w,2,"kecewa, pelayanan kurang memuaskan, ada produk yg salah kirim, kesepakan awal ongkir dari pembeli ke penjual ditanggung pembeli, dan ongkir dari penjual ke pembeli ditanggung penjual, tetapi setelah diretur malah direfund, tidak sesuai kesepakatan awal, sehingga saya rugi di ongkir."
9,nikon,amaliacoffe_official,5,"Barang ORI, ada kartu garansi, paket lengkap, pengemasan ok(bubble wrap tebal) hnya penyok dikit di kardus, seller dan kurir ramah. Saran sedikit sih, buat jasa pengirimnya klo barang elektronik, mohon diutamakan ya.. overall sangat puas."
10,nikon,vanisyanuridhautami,3,"Kamera nya bagus ga ada masalah, cuma sayang dikasih charger nya yang rusak. Sedikit saran untuk seller agar mengecek semua komponen dengan baik jangan sampai konsumen kecewa hanya karna masalah seperti ini??"
11,nikon,kenkensetiawan,4,"Saat beli seller udah ngingetin kalau view screen ada vignette tetapi tidak mempengaruhi hasil foto. Hasil foto bagus, tidak terlalu jelek amat untuk di kelas d3100. Untuk pembelian full dengan lensa, dpt tas strap, dan memory card."
12,nikon,b*****n,4,"Kameranya uda sampai, kekurangannya ada pada layar yang Vignet tinggi dan satu garis, cma hasil fotonya tetap normal, bodynya masih oke lah, dan semoga bisa awet sama saya."
13,sony,ferdimk12,5,Sangat puas dgn barangnya kaya bukan seken tp seperti baru dan berpungsi. Pengiriman cepat dapet bonus tas ga mengecewakan toko ini
14,sony,widyayaacucuo,5,"Ok. Bagus. Lengkap. Sesuai. Joss kameranya. Mantap. Pesan besok sampai. Terimakasih Shopee, seller, kurir langganan ????"
15,sony,komangtirta,5,Gambar pertama adalah foto kamera yg mulus no minus. Gambar yg kedua adalah hasil.jepretan uji coba pertama . yah sangat bagus lah dengan harga yg murah. Thanks
16,sony,irmansyah26,5,"Oke bgt cameranya baguss seperti baru thanks seller ,respon cepat ,seller ramah semoga awet cameranya"
17,sony,ryan140790,3,Mulus terawat ya kak.g da lecet layar sama lensa...aman. Cuman lain kali mohon dicek kembali barang yg mau dikirim tutup view finder lepas...untung masih bisa di lem dengan super hati hati...senang tapi kecewa juga. Kok bisa g di cek...atau ada unsur kesengajaan...
18,sony,ajengfatamaia,5,"Sejauh ini produk ok, aman. Mudah2an kedepannya juga aman. Thanks juga kurirnya yg sabar karena alamat rumah saya yg rumit. Tapi tetep sampai dengan aman dan baik."
19,canon,sandy,3,produks nya oke. . . pengiriman nya lelet gara gara siCepat. 
20,canon,a***p,4,mantab
21,canon,m***d,5,mantap barangnya walau sya minta tukar barang pelayanan nya ramah bgt
22,fujifilm,d*****t,5,"Seller ramah, walau produk yang di pesan lain..."
23,fujifilm,r*****n,3,sukses
24,nikon,apritaaryani,3,"Adapter memory nya tidak ada, buku fotografi tidak ada. Sedikit kecewa karena gak bisa langsung dipakai. Kalau barang mulus aja"
25,sony,kejong11,1,"Yang datang cuma kamera, tutup lensa, tas beserta tali talinya. Tidak ada memori, tidak ada batrei, tidak ada charge. Saya hubungi penjualnya tapi tidak ada respon sama sekali kecuali BOT yg balas instan. Awalnya doang saya dichat tolong beri penilaian bagus agar dpat garansi,,, MASA BODOH garansimu"
26,sony,s75cmqteo5,2,"kata nya kalau plih pulset srba ada tpi cmn kardus doang, batre sya yg beli ga krna ga nyala sma sekali,adapter memory gk ada juga"
27,sony,pengguna shopee,3,"Kualitas barang oke,, adaptor memory gak ada,, respon chat jelek"
28,sony,anticinta0,3,Knpa saya psang memory gk bisa?
29,sony,kusnadi002,3,"alhamdulilah kamera datang dengan slamat ,tpi hnya aja bilangnya bonus adapter memory eh trnyata gk ada"
30,sony,ujangrahmat_,3,"Mengecewakan, tas nya jelek. Kamera cpt habis batre"
31,sony,urbanus69,4,Sy bayar utk fulset yg datang g lengkap..di sms seller bahwa box menyusul?? Lain kali yg teliti dong Dus camera yg disusulkan baru pagi ini 29/4-20 diterima...terima kasih ??
32,sony,m.syarif.maulana,4,Sangatt baikk??mantapp tidak ada minuss sama sekali sayangnya memory card nya ngg ke kirim sama Tas nya kecil dan rusak
33,sony,s*****3,4,"Blm dicobain, skali nyobain pake batu batre ABC gk lama langsung mati aja. Cara mengoprasikannya jg lom tau gmn caranya, mudah²an aja barangnya bner² bagus. Pengiriman pake ekspedisi yg satu ini lama bgt, barang dtg bukannya langsung dikirim. Ditanyain katanya msh digudang!"
34,sony,amon44,4,"barang nggak lengkap,,agak sedikit kecawa min, Blom bisa baterai sama memo ny nggak ad min"
35,sony,imammaulana82,4,Kabel usb nya gak ada ya... Dikira in fulset soalnya waktu mau pesan keterangannya fulset ya sudah. Makasih
36,sony,tonycapit,4,Okelah?? tapi gak ada tasnya malah ada box nya.. Haturnuhun
37,nikon,thariq22,3,"Datangnya lebih cepat dari estimasi, mantap?? Tapi di area flash ada putih-putih gitu kayak jamur, terus tombol delete nya longgar, agak jeblos gitu. Sisanya lancar, ga ada vignet, dan normal semua fungsinya."
38,canon,nur_sod,3,Barang mulus lumayan. Pengiriman lumayan cepat .thanks .rekomendet bgt
39,canon,king_jmz,3,"Untuk lakukan zoom, sdh agak macet, sehingga agak susah untuk auto fokus"
40,canon,sherenmanno,3,"Kameranya bagus, dan hasilnya juga bagus, saya suka, tapi maaf Kaka saya cuman kasih bintang 3 karena Adapternya kirim tidak sesuai dengan maunya kamera. Ketika foto dan mau copy dari laptop ke hp fotonya tidak bisa dibuka????"
41,canon,q17scra7cf,3,Mksi bnyak kak Tpi tdk sesuai dgn yg kita mau
42,canon,diaz,1,"kualitas barang bermasalah, pelayanan penjual kurang"
43,canon,d***z,1,"kualitas barang bermasalah, pelayanan penjual kurang, pengiriman lama"
44,canon,d***z,1,"after service buruk, klaim garansi berminggu2"
45,canon,d***z,1,after service buruk
46,canon,d***z,1,"Jelek banget pelayanannya after sales. Saran saya beli ditempat lain yg fast respon, dan bertanggungjawab jika ada kerusakan"
47,canon,s***h,1,"tidak lengkap, salah kirim"
48,canon,kris,3,bagusnya diulas setelah dipakai 1 bulan ya?
49,canon,m***i,3,sigini aja dl... Smoga aman
50,canon,budi,4,barang nya mantaaaaffffff.... lumayan puas meskipun paket polos... supermantap...
51,canon,vicki,5,"Barang sangat oke, packing sangat professional, dan aman. Saya puas belanja di sini. Semoga tokonya makin laris Thanks! ????"
52,canon,moh,5,"Sudah 2x beli disini dan sesuai deskripsi, tpi barang deterima telat sehari dan seller sempt slow respon"
53,nikon,m***y,4,"respon penjual bagus, sabar, amanah dan bertanggung jawab"
54,nikon,teguh,5,respon cepat dan ramah
55,nikon,robin,4,"barang bagus, packing rapih dan aman, mungkin karena barang display beberapa tombol sudah pudar tetapi lensa dan body kamera dalam keadaan baik"
56,nikon,bagas,1,"catnya banyak yg ngelitek, warna dalamnya merah"
57,nikon,umar,3,"Harga lebih murah dari yg lain + Bonus banyak + Paking tebel - di deskripsi dan box lensanya VR, tp yg datang lensanya non VR - ada vignet di pojok kiri atas layar. Sebenarnya gw mau komplain dan retur, tp teman yang titip beli kamera ini udah keburu mau pake buat event. Akhirnya terima aja apa adanya. Tp tetap aja gw ga enak. Catatan buat seller, lebih teliti lagi dalam QC produknya."
58,nikon,m***m,3,"Baterai tidak ngisi dan charger nya rusak. Tapi mereka merespon baik keluhan kita. Masalahnya, mengirim balik bagian kamera yg rusak ribet.."
59,nikon,s***i,4,on time...barang lumayan
60,nikon,h***n,5,Kua?itas oke. Pengiriman standar. Hanya ga ada CD ROM sama kabel audio video. Semoga awet.
61,canon,c***x,1,"barang gk sesuai deskripsi, tulisnya no minus, tpi pas datang banyak minus."
62,canon,wisnu,1,"lensa berjamur, karet usb bekas di lem, layar vignet, body masi bagus cuma ga sesuai chat aja. Ga sesuai di chat mulus tinggal pake"
63,canon,h***i,4,barang bagus tp sayang karet tutup baterai nya gk ada
64,canon,nfxv,2,"Packingnya baik, pengirimannya agak lama, mohon maaf sudah sampai komplain terkait waktu pengiriman. barangnya saya tes dulu baru saya akan kasih bintang 5 ya..."
65,canon,ishag,3,cara file transfer ke laptop gimana ya ini udh terhubung/connect tapi kok filenya ga kebaca ya ?
66,canon,ali,4,makasih gan barangnya udah sampee..!
67,canon,endah,4,"bonusnya lengkap. kamera nya work, terimakasih...."
68,canon,m,3,"harus nambah 250rb, katanya yg garansi distributor abis, ganti garansi resmi.."
69,canon,jalanusa,3,bungkusnya tidak baru seperti barang bekas
70,canon,falih,4,Barang tiba dengan selamat dan berfungsi????
71,canon,t***s,4,"Barang sesuai spek, packing bagus, namun sayangnya pengiriman kurang sesuai dengan yg dijanjikan seller lewat chat"
72,canon,bagja,4,"kamera, lensa dan kelengkapan komplit. Tp blum sempat sy test karena batrenya sepertinya masih kosong, jd skrng proses charge dl."
73,nikon,5kpz700tvb,1,ada hitam di pojok2 lcd
74,sony,fajar_jenk93,1,"Mas ini kameranya kok engk bisa hidup di lensanya keluar suara krek"" ......??"
75,sony,0rml8ys4v_,2,"Paking bagus, tpi sayanggkuu barangnya tutup USBnya sdh di lem2, boknya juga boks karatan padahal harganya mahal 100 rb, tali kameranya sudah usang. Cepat lobat, baterainya baru tidak cukup 5 menit lobat padahal 4 baterai"
76,canon,sinarbusana8,1,Ini kenapa gak dapet charge nya ya .gmn caranya mau nyobain kameranya
77,canon,liaamandaputri1995,2,"Pengiriman cepat, tapi kecewa karena tripot yang dikasih patah ,minta tolong diganti dong"
78,canon,nailasyiffa,3,"Alhmdulilah barangnya udah nyampe dgan selamat,,pengemasannya juga rapi,,makasih"
79,canon,romimarham,3,Kualitas produk baik. Pengiriman lamaaaaaaaaaaaa...
80,canon,hatta834,3,Kualitas produk baik tapi pengiriman lama
81,canon,tracy_felicya,3,Pengiriman telat banget 
82,canon,keyshaaf13,4,"bagus bangett, camera utk pemula dan versi murahh cocok buat kalian. ga perlu ragu, pengirimannya juga safety cuman agak lama aja 4 hari baru nyampe biasanya 3 hari but over all oqehh. cinta bangett sama kamera nya. makasih djipro pelayanannya memuaskan"
83,canon,s*****m,1,"Kualitas produk buruk, br sehari beli besok nya udah mati total.. dibawa ke tkg service, dan akhirnya dibongkar ternyata itu barang ex kerendem air dan ex bongkaran.. jd penjual yg jujur jgn merugikan pembeli.. tanggung jwb anda dengan Allah nanti nya.ga akan barokah jualan kaya gt merugikan pembeli"
84,canon,d*****8,3,"Pengiriman cepet, packing oke, barang nya keliatan banget second nya kayanya bekas jatoh karna ada bekas nya tapi mudah2an ga akan cepet rusak Aamiin.. strap kecil nya putus:( jadi ga bisa dipakai"
85,canon,msachmad,4,Barang mantap paking Joss. Cuma sayang belum include cabel data nya 
86,canon,a*****i,4,Blm tapi ngarti untuk gunain nya tapi dari hasil mantep banget dan pengemasan nya rapih buble wrap nya banyak mwehehehe intinya jossss... untuk pengiriman lumayan lama mungkin saya mesan nya malam hari dan skrng lagi libur tahun baru jadi kemungkinan banyak yg libur.. trims admin next beli lensadsni
87,canon,wongkayolamo,4,"barang cepat sampai,barang mulus.semoga tahan lama."
88,canon,nachillsu,4,"Kamera muluss tapi tassnya bagian tali udahh karatan sama tali strapnya ilang tulisanya utup lensa lecet"" Penjual ramah balas chatt cepat"
89,canon,wilbertemilio,4,Lensa sudah berdebu dibersihkan tidak bisa lensa kotor bagian dalam
90,nikon,a*****y,4,"Dipesan senin, dikirim jumat, smpainya senin lagi. Smpat minta pmbatalan tpi ditolak toko & dijanjikan akan lgsg dikirim. Barangnya sdh sampai, smua mulus, tmbol aman, tpi hnya bonus adaptor sd card, silica gel gak ada, terus tasnya gak ori (merk canon, pdhl beli nikon), & lensanya lmyn bnyk jamur & kotor. Tapi ttp rekomended! Hnya prbaiki plynannya. Thx"
91,nikon,bang_achul,4,"Pengiriman cepat sampai, kondisi lumayan bagus blm di coba hanya tutup baterai agak kendor.. gak dpt memory card ya"
92,nikon,radikameydisaputra,4,bodynya lumayan mulus tp tas nya gk ori ??.. trus packingnyq kurang safety..
93,nikon,danangdj,4,"tulisan2 masih jelas aman smua, Cuma nunggunya yang lama??"
94,nikon,auroraaurora,1,"jangan belanja disini, pengiriman hampir 2 minggu. janji dus atau tas tidak ada, seller tidak amanah, balas chat nunggu 4 hari baru dibalas. beli 2 kamera minus & banyak jamurnya, mana dikirimnya pisah. pas paket kedua datang saya disuruh bayar ongkir lagi 55ribu, padahalkan sudah include semua ongkir di pembayaran awal. kacau banget ini seller."
95,nikon,friyadihandoni,2,Vignet sdah kena
96,canon,clara_jamlean,1,Belum sampai sebulan layarnya sudah hitam dan tidak bisa lihat hasil foto. Ditanyakan di chat gk direspon.
97,canon,ririnkusuma085208530851,2,Barang tdk seperti kemarin ini kayakx bekas hx di ganti lagi bagian luar biar layak nya baru Dos nya jug bekas awal sya beli pertama dan kedua barangx oke tapi pas order ke 3 dapat barang bekas
98,canon,p*****t,2,"Agak meragukan barang baru karena terlihat hanya bagian body yang diganti seperti baru, dan terdapat baut yang rusak seperti bekas di ganti"
99,canon,a*****0,4,Ini mungkin barang distri ya... kalo yg official dh Ga jual yg baru. Jadi kelengkapan dlm dus nya mungkin berbeda dengan kamera yg baru resmi. Yaa untuk performa kamera sejauh ini baik2 saja. 
100,canon,mirnaaws02,4,"barang oke banget, muluss dan lengkap! tapi pengirimannya ga oke sy pesan instant pakai go send tapi malah dikirim di hari kedua dan sore banget barangnya baru sampai, Mohon ditingkatkan lagi proses pengirimannya apalagi kalau pakai instan, kan sdh bayar ongkir yg berbeda"
101,canon,iik_supriyadi87,4,"Diberi bintang 4 ya, karena pengirimannya agak telat, ga nyampe kerumah lagi pengirimnya,... Oke terimakasih barangnya sudah mendarat sampai dirumah..."
102,canon,ani_doang,4,Cukup
103,canon,riskynur515,4,Pengiriman lama banget.. barang original baru
104,nikon,gavinfawwaz,2,"lcd lepas, gada bunga lensa, tripod jelek."
105,nikon,dirgantari.s,3,"Kameranya bagus banget, gg ada jamur juga, walau ada sdkit bagian bahan dr karetnya rada rusak dkit tp gg mempengaruhi hasil kamera, cuma yg sangat d sayangkan aku makeknya bru 3 jam udh lowbat aja batrainya, pdhal d casnga lumayan lama, itu aja sih menurutku minusnya"
106,canon,beatoladas,2,"Bungkusan paket rapi,tapi terlalu lama menunggu"
107,canon,aksaisaputra,2,"Barang 100% ori, tapi pesan paket pakai sandisk, sandisk ultra nya gak dikirim adminya slow respon"
108,canon,a*****7,4,"Pengemasan baik, barang sampai dengan baik, penjual sedikit slow respon, barang dikirim sedikit lama.. pelayanan standar"
109,canon,kana.cutehappy,4,"Barang baru, sepertinya ori.. Cuma feels nya seperti agak plastik. Pengiriman toko cepat, namun sepat kendala di Cakung Sortir DC karena barang mahal jadi disortirnya lebih lama.. Lengkap dan baguss semua kok mantap.."
110,canon,diandrailhamfarros,4,"Semoga awet Terima kasih, respon penjual ramah"
111,canon,ruddyarsyad,4,"Makasi kk. Barang uda sampai, sesuai pesanan."
112,canon,n*****a,4,Bagusssss sbangettttt costumerku sukaaa .paket lengakp ..packing aman banget..buble tebel bangetttttt terimakasih rekomended bangettttt.seller baik
113,canon,olif1996,4,"Pengiriman cepat, tapi sayang ada yg kurang kabel usb nya ga adaa"
114,canon,d*****t,1,Beli paket Advanced katanya barangnya baru tapi yg jadi pertanyaanku kenapa kardusnya dikasih kardus bekas????ditutup lakban biar gak kelihatan bekas..awalnya respon penjual baik tapi giliran ada komplen menghilang chat gak dibalas.semoga jadi penjual yg lebih baik lg lebih jujur.Pembeli KECEWA????
115,canon,didit.adhit,3,"Barang sudah di pakai, belum ada kendala 4 hari pemakaiaan. Seller bertanggung jawab, sempat ada karet yg rusak, dan sudah diganti. Ternyata karetnya hanya potongan dan dikasi isolasi bolak balik."
116,nikon,a***z,1,"G sesuai diskripsi, lensa berjamur ( walaupun g ngaruh hasil tapi kalau lensa berjamur ya sudah g okelah, roda pengaturannya juga g fungsi, yg jelas jika digunakan susah karna g bisa atur pengaturan dengan cepat. Saat saya inbok masah itu, penjual g respon ngasi solusi. Sangat tidak menyenangkan, saya kecewa."
117,nikon,anur rofik,1,Barang gak bagus :(
118,nikon,fahrudin panongan,2,Barangnya kurang oke
119,nikon,yayat suhayat,2,Barangnya kurang oke
120,nikon,f***u,4,"Sesuai deskripsi lengkap tombol normal cuman ada minusnya 1.lensa berjamur ""tidak ngaruh hasil tapi ngak tau kedepannya"" 2.layarnya vignet dikit "" tidak mempengaruhi hasil"" 3.view findernya kayak ada debu gitu dan karetnya lepas lepas ""tidak mempengaruhi hasil"""
121,nikon,ali fanjirifai,4,"kameran sudah saya terima makasih ya, harga fungsi sesuai,batre nya tapi gampang lowbat ya.."
122,canon,Brian Rotor Nagoro,1,"Lensa bintik hitam, karet body hilang, apa bisa di retrun lensa?"
123,canon,Lupitha Vandalita,1,"Pelapak penipu dan tdk jujur, menjual barang tdk sesuai deskripsi dan spec yg dia ucapkan, barang bangkai dijual, awalnya fast respon, saat pembeli mengeluh walau sdg online dia sengaja tdk membaca dan merespon, pelapak dgn itikad tdk baik. Agar tdk ada korban sprt saya, mohon ditindak tegas pelapak yg sprt ini. Mimpi buruk berurusan dgn pelapak spt ini...."
124,canon,arief mhpka,1,Barang gak bagus :(
125,canon,Milata khanifah,2,"Kondisi bagus, tp ada titik hitam di view findernya. Belum ngulik lebih dalam, semoga semuanya masih oke. Setelah dipake beberapa hari, kamera jd busy terus ganti sd card yg lbh bagus jg ttp. Kameranya yg lemot, respon dr tombol yg dipencet bisa bermenit2"
126,canon,Muhammad Hisyam,3,Biasa aja barangnya
127,canon,muchlison arief,3,Biasa aja barangnya
128,canon,Sugeng Sugiarto Kusumah,5,"Kualitas bagus, sangat memuaskan harga cocok muantap bener ??????fungsi produk"
129,canon,R***i,5,meski murmer..enak dipakainya fast respon...oke bangetlah..rapi sdh langsung pakai
130,canon,Sihabudin,5,Second like new
131,canon,w***n,5,Barang bagus banget!
132,canon,Seven batee,4,"mantap.... tapi ada sedikit yg copot, yah gpp kalau yang lainnya ok ...."
133,canon,Rakagalih23,4,"respon penjual baik,pengiriman baik,, Kamera baguslh okh paling ada sedikit doang minusnya ini..."
134,canon,andri irawan,4,"Suka, barang bagus!"
135,canon,muzakir rusydi,4,"Kamera ok, body 95% oke tapi sayang karet2nya rapuh, kayak karet usb, karet power rapuh sekali"
136,sony,supriono,1,"Barang tidak sesuai dengan pesanan.. Pesan sony A35 dikirim sony A380 respon lambat,harga tidak sesuai,chat nggk dibalas. Sangat mengecewakan.."
137,sony,wawan,5,"harga kualitas fungsi produk ...semoga awet ..msh di coba"""
138,sony,Irvan Gunawan,5,Barang bagus banget!
139,sony,MF Heri Purwanto,5,Barang bagus banget!
140,sony,ockta paldi,5,Barang bagus banget!
141,canon,W***r,3,"Minus, tak ada temperedglassnya, padahal digambar ada ,, over all lumayan lah Kemasan lumayan aman"
142,canon,Eka Sulistiyana,4,"Suka, barang bagus!"
143,canon,Nur kholis Wijiyanti,4,"Suka, barang bagus!"
144,canon,Zainal Maarif,5,kualitas fungsi barabg bagus
145,canon,p***i,5,Barang bagus sesuai pesanan. lain kali akan pesan di sini lagi
146,canon,y***s,5,bagus. okay deh... pengiriman juga oke
147,canon,e***d,5,best seller. barang sesuai dg spek. maju terus..
148,canon,b***y,5,udah nyampe paketnya. makasih ya ..packingan nya rapih 
149,fujifilm,j*****a,4,"Barang dateng sesuai pesanan, lengkap seperti yg ada di deskripsi, packingan pake double wrap. Pengiriman sekitar 4 harian. Bintang 4 dulu. Setelah dicek baru di rate kembali. Terimakasih seller"
150,fujifilm,1983darman,4,Cukup bagus... mesti agak kecewa minus cas
151,lumix,syarifhidayatullah93,5,Mulus parah si ini harga lebih murah dari yang lain Cuma lensa cap sama tali strap aja bukan punya lumix merk lain tapi overall semua mulus banget semoga awet
152,lumix,shinta_dwihasanti,5,Alhamdulillah barang sesuai sangat bagus. Terima kasih semua semoga amanah. Terimakasih pk. Kurir..
153,lumix,fahmi_qiyamudin,5,"Best seller, best quality.,., pesen jam 1 jam 6 sampe.,., FAST respon.,., barang kyk baru mantaappp no kendala,., bonus banyak.,., harga paling murah.,., mantepp dah pkoknya.,., makasih yaaa seller.,., smoga makin lancar usaha nya.,. Tetap pertahankan kualitas pelayanan dan barang.,.,"
154,lumix,a*****d,5,Pokoknya beli aja gak kecewa bagus kok barang nya
155,lumix,diwani123,5,Sdh dicoba kondisi baik
156,lumix,b*****8,5,MantuuuuuL....
157,lumix,kisekipicture,4,"Tgl di kartu garansi, 1 oktober 2020, pdahal belinya bulan 3,2021. Segel kardus pake solatip. Tapi kamera oke seperti baru, fungsi lancar. Terimakasih."
158,lumix,naamafiul,4,"Barang mantap semua bonus banyak, cuman box sobek dipengiriman selebihnya recommend seller"
159,lumix,fioshop_fillio,4,"Bagus barang nya, hanya saja di foto ada tulisan free memori, dll tp pas sampe memori tdk ada dan krna barang di buka bkn oleh saya jd tdk di video.. its oke lah gpp g ada bonus memori, krna saya jg td ada bukti tp saya jujur memang tdk ada.. Terimakasi seller"
160,lumix,zainganteng94,4,mantap..barang nyampe tepat waqktu
161,canon,Dery Sandria,2,Barangnya kurang oke
162,canon,d***n,4,"cepet banget udah sampe. packing rapi ,ga ada yg rusak ,respon seler baik & cepat. Jgn ragu buat belanja d toko ini pokoknya ga agak mengecewakan"
163,canon,the amie,4,"Suka, barang bagus!"
164,canon,H***o,4,"Suka, barang bagus!"
165,canon,globalindo niagatama,4,Saya Puas!
166,canon,zulparizar,4,Saya Puas!
167,canon,m***a,4,"sesuai iklan dan pesanan,respon cepat,cepat sampai..recommended seller"
168,lumix,rebeccawinnieangeline,4,"saran saya coba dijual dengan perlengkapat yg lengkap min, yg sekaligus sama sd card, tas kamera, dll biar nnti buyer ga mesen2 dr tempat lain lagi. tq ??"
169,lumix,d*****r,4,Barang sesuai deskripsi Respon seller cepat Pengiriman cepat Manntaappp
170,lumix,bagusprmbd,4,-
171,lumix,huruland,5,"Pengiriman cepet, adminnya juga ramah. Produknya sesuai semua ??"
172,lumix,leedalgoo,5,"Pembelian online pertama yang nominalnya cukup gede. Alhamdulillah sampe dengan selamat dan cuma selang dua hari aja ke lampung. Barang original, mulus, dan aksesoris juga lengkap. Mirrorless yang recommended dari segi fitur dan harganya :D"
173,lumix,r*****a,5,"Alhamdulillah,,, pengiriman sangat ????????,,barang sampai dengan selamat, semoga barangnya awet,, berkah,, dan dapat menghasilkan karya yg berkualitas,,,,"
174,lumix,yun_khiong,5,"Recomended seller... Pesan/transfer Tgl 23, ee.... tgl 24 barang sampai... Fast respon... Bukan kaleng kaleng"
175,lumix,bangfoer,5,"Barang sudah diterima dengan baik, pengiriman cepat, barangnya oke, smoga awet... Terima kasih... "
176,lumix,syaga04,5,"Ngga bakal kecewa sih beli disini,recom buat kalian yang baru beli barang baru disini,respon cepat,pengiriman sangat cepat,the best"
177,lumix,fknazira,5,"Paket diterima dengan baik, dikasi bubble wrap + kardus tebel lagi. Kelengkapan di box sesuai yg tertera. Beli bareng screen protector dan sudah dipasang juga. Baru unboxing belum dicobain. Semoga gak ada kendala. Makasi buat sellernya"
178,lumix,ekaandina,5,produk original sesuai ekspektasi. respon cepat. packing bagus. aman. rekomended seller & shop.
179,lumix,djil.bee,5,"InsyaAllah produk original, sudah dicoba2 alhamdulillah kualitas sesuai harga lah... Semoga awet.. Aamiin..."
180,lumix,atasandressmurah,5,Sdh diterima dgn baik dan sdh 2 kali pakai. Kamera dgn fitur yg memuaskan.
181,lumix,yusa_du,5,Mantab ?? Camera tiba dengan selamat dan cepat. Thanks.
182,lumix,ramdanae,5,"mantap fitur kamera berfungsi semua,biar bintang yang berbicara"
183,sony,snifr_enc,1,B ajaj
184,sony,detearchy,3,"Overall biasa aja. Deskripsi fisik kamera 98% sebaiknya diganti ""pemakaian wajar"" supaya pembeli tidak berekspektasi terlalu tinggi."
185,sony,listax1,3,Di chat bilang sc 6rb..begitu sampe sc 12rb..
186,nikon,marco devega,5,Oke punya
187,nikon,irawan,5,"Barang ok,pelapak fast respon,meskipun kameranya sedikit missfocus,tetep recomended seller"
188,nikon,Hery si Garra,5,Barang bagus banget!
189,canon,I***n,1,Saya singkat aja. Awal pesan 28 agustus 2022. Kondisi barang datang tidak bisa dipakai. Tapi masi garansi dan saya kirim kembali barang untuk diperbaik. Setelah 2 bulan datang barang namun keadaan barang sama seperti sebelum diperbaiki. Saya disuruh kirim yg kedua kalinya untuk diperbaiki.. Sampai bulan februari barang belum pernah saya pakai sejak pertama beli. Dan pihak penjual BERTANGGUNGJAWAB untuk mengembalikan dana saya. Tapi dengan syarat uang ada potongan 1juta dari harga barang saya beli 4.200.000.... Saya di transfer pada februari 2023 sebesar 3.200.000....... Sdikit kecewa walupun penjual bertanggungjawab penuh tapi sebetulnya itu salah siapa? Yg jual barang rusak .
190,canon,khairil anwar ali,5,secara keseluruhan barangnya baik kualitasnya cuman Nama Barang Yang Tertera di Kiri Barang yg tempelannya tidak kuat dan akhirnya sudah jatuh hilang
191,canon,Abraham Tanamal,1,Card nya rusak
192,canon,febri arista,1,"Layar fignet dikit,gak di tulis di diskripsi,rdaKecewa"
193,canon,Rena Rahayu,1,Barang gak bagus :(
194,canon,arie hasanudin,2,Ada dent/baret di viewfinder nya
195,canon,suhid,2,Barangnya kurang oke
196,canon,Zulnovri,3,Biasa aja barangnya
197,canon,Mustofa Soleh,3,Biasa aja barangnya
198,canon,Ahmad Uki Baihaqi,4,Saya berharap bisa garansi.. Karna entah LCD atau lensanya bikin video Ada garis kuningnya Belum 1 bulan soalnya ngaruh kehasil.. Semoga toko sakura merespon. Garis kuning dibawah..
199,canon,Dian Cikal,4,kualitas baik mantap pokonya trimakasih sakura camera
200,canon,Ahdan Mustofa,4,"Barang sesuai pesanan, semoga awet dan bermanfaat bagi saya dan makin maju buat pelapak"
